#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-07-13T15:45:09 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ62cee87217fca7	
#INFO	-out.max=unlimited	
#INFO	queryParameters=10	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/A+A/531/A40/wasplc
#-nav=cat:J/A+A/531/A40&tab:{J/A+A/531/A40/wasplc}&key:source=J/A+A/531/A40/wasplc&HTTPPRM:&&-ref=VIZ62cee87217fca7&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=HJD&-out=dmag&-out=e_dmag&-out=Filt&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/531/A40/wasplc
#-source=J/A+A/531/A40/wasplc
#-out=HJD
#-out=dmag
#-out=e_dmag
#-out=Filt
#

#RESOURCE=yCat_35310040
#Name: J/A+A/531/A40
#Title: Transits of WASP-39b (Faedi+, 2011)
#Table	J_A_A_531_A40_wasplc:
#Name: J/A+A/531/A40/wasplc
#Title: WASP photometry (8/04/2008-17/06/2010), fig.1
#Column	HJD	(F13.5)	Heliocentric Julian date	[ucd=time.epoch]
#Column	dmag	(F15.12)	Differential magnitude	[ucd=phot.mag;arith.diff]
#Column	e_dmag	(F14.11)	rms uncertainty on dmag	[ucd=stat.error;phot.mag]
#Column	Filt	(A1)	[rz] Band of the magnitude	[ucd=instr.bandpass]
HJD;dmag;e_dmag;Filt
d;mag;mag;
-------------;---------------;--------------;-
2454533.61177; 0.026866316300; 0.01986903810;r
2454533.61221; 0.048766336700; 0.02398351150;r
2454533.62045; 0.075566718400; 0.04311405440;r
2454533.62091; 0.044566739800; 0.03119263150;r
2454533.62597;-0.082033025900; 0.04051173790;r
2454533.63378;-0.022532664000; 0.03446311040;r
2454533.63425; 0.027667357400; 0.01825138190;r
2454533.63929; 0.002167591130; 0.02113502990;r
2454533.63975;-0.011932388000; 0.01835688120;r
2454533.64479; 0.017467845800; 0.02655066160;r
2454533.64523; 0.034367866100; 0.02064269980;r
2454533.65142; 0.018468152900; 0.01955254020;r
2454533.65186;-0.091831826700; 0.03653793030;r
2454533.65704;-0.012931587100; 0.02109986350;r
2454533.65750; 0.049368434400; 0.02043170120;r
2454533.66248;-0.010331335100; 0.02268235330;r
2454533.66291; 0.006668684740; 0.03038380340;r
2454533.66839; 0.067468938800; 0.02619899720;r
2454533.67235; 0.049869122200; 0.03594010080;r
2454533.67281;-0.018330856400; 0.03080580070;r
2454533.67792; 0.023469380000; 0.03579943510;r
2454533.67836; 0.031769400400; 0.03470927550;r
2454533.68228; 0.035469582200; 0.01976353880;r
2454533.68272;-0.060730397500; 0.03358394940;r
2454533.68779; 0.013169837300; 0.02387801220;r
2454533.68823;-0.005830142300; 0.02408901080;r
2454533.69218; 0.032870040500; 0.03439277750;r
2454533.69262; 0.002070060880; 0.02630449650;r
2454533.69707;-0.025029732700; 0.02827381710;r
2454533.70102;-0.008229549930; 0.02964530820;r
2454533.70146; 0.014570470400; 0.02148669430;r
2454533.70640;-0.013329300600; 0.02535500260;r
2454533.70968; 0.006070851070; 0.02655066160;r
2454533.71288;-0.014329000400; 0.02728915680;r
2454533.71331;-0.004328980600; 0.02728915680;r
2454533.71620;-0.009328846580; 0.02795731910;r
2454533.71664;-0.012628826200; 0.02975080750;r
2454533.72057; 0.015371355500; 0.03186079390;r
2454533.72101;-0.011328624100; 0.02975080750;r
2454533.72490;-0.021028444000; 0.02908264520;r
2454533.72532; 0.006171575860; 0.02897714590;r
2454533.72823;-0.012028289600; 0.03586976800;r
2454533.72868;-0.029828268700; 0.02985630690;r
2454533.73153;-0.013228136800; 0.03196629320;r
2454533.73196; 0.006971883030; 0.03182562750;r
2454533.73479;-0.052827985600; 0.03323228500;r
2454533.73523;-0.026327965300; 0.03196629320;r
2454534.60895; 0.025124672600; 0.02672649380;r
2454534.60939; 0.016824692900; 0.02760565480;r
2454534.61770; 0.023025077800; 0.03020797130;r
2454534.61814; 0.006825098220; 0.03263445560;r
2454534.62333; 0.005725338920; 0.03987874200;r
2454534.62377;-0.005974640710; 0.03439277750;r
2454534.63105;-0.003474303520; 0.03548293710;r
2454534.63147; 0.007425715780; 0.03622143230;r
2454534.63645;-0.006374053700; 0.03657309670;r
2454534.63691; 0.023925967700; 0.03731159200;r
2454534.64194; 0.008126200940; 0.03597526730;r
2454534.64236;-0.008473779760; 0.04701752920;r
2454534.64740;-0.004973546560; 0.04641969970;r
2454534.64784;-0.011373526200; 0.04501304210;r
2454534.65443; 0.031926779400; 0.03755775700;r
2454534.65948;-0.004272986890; 0.03766325640;r
2454534.65992; 0.011627033500; 0.03864791670;r
2454534.66499; 0.008427268290; 0.03977324270;r
2454534.66542; 0.010027288100; 0.03914024680;r
2454534.66936;-0.004972529070; 0.04037107220;r
2454534.66980; 0.002627491300; 0.04037107220;r
2454534.67483;-0.010572276000; 0.03963257690;r
2454534.67529; 0.013127745400; 0.04001940780;r
2454534.67918;-0.011972074500; 0.04061723720;r
2454534.67962; 0.015727945900; 0.04163706400;r
2454534.68475;-0.001071816610; 0.04525920720;r
2454534.68519;-0.008371796240; 0.04462621130;r
2454534.68920;-0.013571610200; 0.04476687710;r
2454534.68964;-0.006471589850; 0.04515370790;r
2454534.69359;-0.009471407040; 0.04779119080;r
2454534.69403;-0.000471386670; 0.04754502580;r
2454534.69795;-0.013071204900; 0.04856485250;r
2454536.59799; 0.001116800530; 0.01913054290;r
2454536.59843; 0.028416820900; 0.01902504360;r
2454536.60569; 0.011517157600; 0.01884921140;r
2454536.60613; 0.026117177900; 0.01849754700;r
2454536.61446; 0.042717563400; 0.01962287310;r
2454536.61491; 0.054717584300; 0.01923604220;r
2454536.61997; 0.034417818600; 0.01891954430;r
2454536.62042;-0.013482160500; 0.01927120870;r
2454536.62773; 0.026118178300; 0.02078336560;r
2454536.62817; 0.006918198640; 0.01990420460;r
2454536.63325; 0.007818433990; 0.01976353880;r
2454536.63368; 0.032418453800; 0.01993937100;r
2454536.63873; 0.014118687600; 0.02025586900;r
2454536.63917;-0.001381292070; 0.02032620180;r
2454536.64530; 0.017518992100; 0.02222518960;r
2454536.64574;-0.000880987579; 0.02043170120;r
2454536.65078; 0.034019245600; 0.02060753340;r
2454536.65619;-0.020080503500; 0.02211969020;r
2454536.65662; 0.028319516300; 0.02141636150;r
2454536.66160; 0.021719746900; 0.02120536280;r
2454536.66204; 0.019819767200; 0.02067786620;r
2454536.66714;-0.004879996350; 0.02148669430;r
2454536.67148;-0.023179795300; 0.02222518960;r
2454536.67598; 0.000020413215; 0.02240102180;r
2454536.67642;-0.004979566410; 0.02250652110;r
2454536.68573;-0.002679135400; 0.02310435050;r
2454536.68619; 0.004820886040; 0.02166252650;r
2454536.69008;-0.009878933830; 0.02271751970;r
2454536.69052;-0.003378913460; 0.02222518960;r
2454536.69560; 0.021421321900; 0.02370218000;r
2454536.69606;-0.016978656700; 0.02328018270;r
2454536.69883;-0.003578528550; 0.02387801220;r
2454536.69929; 0.011721492900; 0.02401867800;r
2454536.70204;-0.022178380100; 0.02430000950;r
2454536.70250;-0.003878358610; 0.02408901080;r
2454536.70536; 0.006221773800; 0.02440550880;r
2454536.70580;-0.010978205800; 0.02398351150;r
2454536.70973;-0.010878023600; 0.02574183350;r
2454536.71017;-0.000078003188; 0.02430000950;r
2454536.71297;-0.006577873460; 0.02563633420;r
2454536.71341; 0.016422146900; 0.02567150060;r
2454536.71727; 0.001522325430; 0.02493300540;r
2454536.71771;-0.019977654200; 0.02542533550;r
2454536.72057;-0.012177521800; 0.02588249920;r
2454536.72103;-0.020977500300; 0.02648032870;r
2454536.72390; 0.000322632613; 0.02630449650;r
2454536.72434; 0.005022652980; 0.02651549510;r
2454536.72711;-0.004477218890; 0.02760565480;r
2454536.72755;-0.026677198500; 0.02672649380;r
2454536.73146;-0.007977017330; 0.02739465610;r
2454536.73190;-0.024076997000; 0.02750015540;r
2454536.73470;-0.020576867200; 0.02961014180;r
2454536.75807;-0.036775784900; 0.03077063430;r
2454536.75851;-0.006675764490; 0.02961014180;r
2454536.76016;-0.009575687830; 0.03091130000;r
2454536.76060;-0.025175667500; 0.03041896990;r
2454536.76230;-0.017375588700; 0.03020797130;r
2454536.76274;-0.006275568280; 0.03182562750;r
2454536.76694; 0.008324626310; 0.03003213910;r
2454536.76738; 0.003824646690; 0.02992663970;r
2454536.77035;-0.031875216100; 0.03080580070;r
2454536.77078;-0.026375196200; 0.02989147330;r
2454536.77249;-0.023575116900; 0.03059480210;r
2454536.77293;-0.035975096500; 0.03245862340;r
2454536.77463;-0.018575017700; 0.03277512130;r
